0x00000000,global_tags
0x00000001,sound\levels\mainmenu\pelicans_loop\pelicans_loop
0x00000002,sound\levels\mainmenu\vehicles_loop\vehicles_loop
0x00000003,sound\music\main_menu_new\prologue\main_menu_prologue
0x00000004,sound\music\main_menu_new\main_menu\main_menu
0x00000005,sound\music\main_menu_new\lobby\main_menu_lobby
0x00000006,sound\music\postmatch_new\headhunters\postmatch_headhunters
0x00000007,sound\music\postmatch_new\spartan_engage\postmatch_spartan_engage
0x00000008,sound\music\postmatch_new\spartan_hero\postmatch_spartan_hero
0x00000009,sound\levels\mainmenu\pa_voice
0x0000000A,objects\characters\dervish\dervish
0x0000000B,objects\levels\ui\mainmenu\menu_pelican\menu_pelican
0x0000000C,objects\levels\ui\mainmenu\menu_scorpion\menu_scorpion
0x0000000D,objects\levels\ui\mainmenu\menu_phantom\menu_phantom
0x0000000E,objects\levels\ui\mainmenu\menu_warthog\menu_warthog
0x0000000F,objects\levels\ui\mainmenu\menu_hornet\menu_hornet
0x00000010,objects\levels\ui\mainmenu\menu_forklift\menu_forklift
0x00000011,objects\levels\ui\mainmenu\menu_banshee\menu_banshee
0x00000012,objects\levels\ui\mainmenu\menu_wraith\menu_wraith
0x00000013,0x00000013
0x00000014,hf2p\global_textures_list
0x00000015,hf2p\global_files_list
0x00000016,globals\globals
0x00000017,hf2p\gfx\activity_lib_as3_i2e
0x00000018,hf2p\gfx\activity_lib_as3_i3e
0x00000019,hf2p\gfx\activity_lib_as3_i48
0x0000001A,hf2p\gfx\activity_lib_as3_i64
0x0000001B,hf2p\gfx\activity_lib_as3_i67
0x0000001C,hf2p\gfx\activity_lib_as3_ic
0x0000001D,hf2p\gfx\activity_lib_as3_idf
0x0000001E,hf2p\gfx\activity_lib_as3_if
0x0000001F,hf2p\gfx\armory_lib_i6
0x00000020,hf2p\gfx\armory_lib_if
0x00000021,hf2p\gfx\challengesscreen_lib_as3_i1
0x00000022,hf2p\gfx\challengesscreen_lib_as3_i3b
0x00000023,hf2p\gfx\challengesscreen_lib_as3_i3e
0x00000024,hf2p\gfx\challengesscreen_lib_as3_i4e
0x00000025,hf2p\gfx\challengesscreen_lib_as3_i57
0x00000026,hf2p\gfx\challengesscreen_lib_as3_i5c
0x00000027,hf2p\gfx\challengesscreen_lib_as3_i6d
0x00000028,hf2p\gfx\challengesscreen_lib_as3_i86
